Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:27Es1J9GNKf0pZLy3sdzjl,"If I Was A Folkstar","Wildflower","The Avalanches",2016-07-08,273253,49,false,kootlefoosh,2025-07-01T21:21:25Z,"plunderphonics","Universal Music Australia Pty. Ltd.",0.669,0.917,10,-8.06,1,0.0471,0.575,0.801,0.0968,0.923,123.179,4
spotify:track:6FMFPv7NRg5rYNaNcFkrxi,"Keswick Park","Far From This World","Orchid Mantis",2020-11-20,195102,7,false,kootlefoosh,2025-05-03T09:27:32Z,"slowcore,dream pop","Z Tapes",0.571,0.426,7,-10.161,1,0.0241,0.677,0.0105,0.133,0.514,73.487,4
spotify:track:12TaWARrbJXlyN1hUJeHwa,"All Night Long","Helium","HOMESHAKE",2019-02-15,217714,24,false,kootlefoosh,2025-05-03T09:27:32Z,"bedroom pop","Sinderlyn",0.734,0.27,9,-11.266,0,0.0286,0.588,0.616,0.242,0.391,106.004,4
spotify:track:04HeNxRRVjcwctfp2K2kMu,"the ride-","Let’s Start Here.","Lil Yachty",2023-01-27,190581,53,false,kootlefoosh,2025-05-03T09:27:32Z,"","Quality Control Music/Motown Records",0.416,0.792,6,-4.809,0,0.0867,0.325,0.000368,0.374,0.568,152.027,4
spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,"Bad Habit","Gemini Rights","Steve Lacy",2022-07-15,232114,86,true,kootlefoosh,2025-05-03T09:27:32Z,"","L-M Records/RCA Records",0.686,0.494,1,-7.093,1,0.0355,0.613,0.000058,0.402,0.7,168.946,4
spotify:track:1YgDGKyKhFlimPw3mLavPG,"Fancy Clown (feat. Viktor Vaughn)","Madvillainy","Madvillain;Madlib;MF DOOM;Viktor Vaughn",2004-03-24,115826,63,true,kootlefoosh,2025-05-03T09:27:32Z,"experimental hip hop,alternative hip hop,jazz rap,plunderphonics,east coast hip hop","Stones Throw Records",0.537,0.753,8,-9.441,1,0.35,0.328,0.0000152,0.368,0.693,90.292,4
spotify:track:0zLClc0emc6qUeV1p5nc99,"No More Parties In LA","The Life Of Pablo","Kanye West",2016-06-10,374413,72,true,kootlefoosh,2025-05-03T09:27:32Z,"rap","Rock The World/IDJ/Kanye LP7",0.508,0.921,5,-1.644,1,0.303,0.246,0,0.221,0.681,93.058,4
spotify:track:73pz1RTwUBpKO286c9zhzT,"Garbage Pale Kids","SCARING THE HOES","JPEGMAFIA;Danny Brown",2023-03-24,168022,48,true,kootlefoosh,2025-05-03T09:27:32Z,"experimental hip hop,alternative hip hop,experimental","2023 PEGGY under exclusive license to AWAL Recordings America, Inc.",0.624,0.955,1,0.742,1,0.35,0.118,0,0.129,0.764,78.676,4
spotify:track:60E2QSeE6hZe51e9VuBJSp,"Another Weekend","Dedicated to Bobby Jameson","Ariel Pink",2017-09-15,254520,0,false,kootlefoosh,2025-05-03T09:27:32Z,"neo-psychedelic","Mexican Summer",0.383,0.513,6,-5.377,0,0.0278,0.126,0.000123,0.241,0.387,108.669,4
spotify:track:0FpUaFYnW80iN7WUo9Y3HJ,"Sweet Memory","Woof Woof","ARTHUR",2018-11-16,133383,28,false,kootlefoosh,2025-05-03T09:27:32Z,"","PLZ Make It Ruins",0.735,0.57,1,-8.809,0,0.0639,0.654,0,0.197,0.767,134.996,4
spotify:track:6NLRMu1qF1kJQnntDNWDmy,"Lemon Glow","7","Beach House",2018-05-11,244946,69,false,kootlefoosh,2025-05-03T09:27:32Z,"dream pop","Sub Pop Records",0.465,0.818,0,-7.924,1,0.03,0.446,0.976,0.232,0.53,148.427,4
spotify:track:6SZwj6cjc8JQbkrr8cbIUn,"Oh Klahoma","Pop Food","Jack Stauber",2017-03-25,185223,72,false,kootlefoosh,2025-05-03T09:27:32Z,"","Plopscotch Records",0.697,0.401,7,-10.216,1,0.0543,0.43,0.0109,0.316,0.478,108.996,4
